shots	numstab	fidelity_error
200	9	0.09626244032467575
200	14	0.07128554246784224
200	22	0.062168206098194
200	35	0.060962313833621634
200	54	0.06019129269691577
200	85	0.059456763769629675
200	133	0.06132306828276956
200	210	0.058111122472753206
200	329	0.055472042346992226
200	517	0.05573614614928983
200	813	0.05189356566384995
200	1277	0.05087025966547586
200	2005	0.054100446940372963
200	3150	0.05423314634088234
200	4949	0.05273845491477129
200	7775	0.052133946748867815
200	12215	0.05238555566513189
304	9	0.07801592683752909
304	14	0.07592293445260496
304	22	0.06615432901297827
304	35	0.06692312302540848
304	54	0.054965066939748564
304	85	0.048935403922851575
304	133	0.06519537000417379
304	210	0.05279356105509796
304	329	0.04967645284702792
304	517	0.05235594613885472
304	813	0.054125705390319225
304	1277	0.05460826802640561
304	2005	0.05301494646899954
304	3150	0.052705743199147316
304	4949	0.051927172908051177
304	7775	0.052097903776326546
304	12215	0.05169225198594583
464	9	0.10484365937250593
464	14	0.0787943941861245
464	22	0.0753629037584643
464	35	0.0584110173193129
464	54	0.053706424461061275
464	85	0.048067008414576486
464	133	0.04252625474467634
464	210	0.039421248594182494
464	329	0.038272465532117515
464	517	0.038233205767668255
464	813	0.03533527265688501
464	1277	0.03756107862807902
464	2005	0.035307983933464814
464	3150	0.03491328662749562
464	4949	0.03427201174593508
464	7775	0.0342924737391342
464	12215	0.03309137228370794
710	9	0.09406603247187317
710	14	0.08318706305835696
710	22	0.05789705549462711
710	35	0.053952409965196325
710	54	0.0441763793623085
710	85	0.04346162411924938
710	133	0.041497132316952796
710	210	0.04326881498335263
710	329	0.04538980748409556
710	517	0.040922676012633205
710	813	0.04174111486324519
710	1277	0.04109986229491986
710	2005	0.04037927935231971
710	3150	0.039774047312023816
710	4949	0.03741055867498829
710	7775	0.03828585782099239
710	12215	0.037732969606417935
1084	9	0.09171467229221704
1084	14	0.08320387115969219
1084	22	0.06459892632517972
1084	35	0.06213317277534819
1084	54	0.04353691524424575
1084	85	0.043675845061598384
1084	133	0.03544428432399898
1084	210	0.0341454653650535
1084	329	0.031051672040493028
