shots	numstab	fidelity_error
200	9	0.037231165569105794
200	14	0.03965893543102088
200	22	0.030468450219063185
200	35	0.029073970606195824
200	54	0.03123940789383048
200	85	0.031058115633425615
200	133	0.031237172986929535
200	210	0.029333617198080263
200	329	0.028982209521180344
200	517	0.03022131720516774
200	813	0.030074821383816445
200	1277	0.029880790437634235
200	2005	0.029306855523757284
200	3150	0.029214750936246998
200	4949	0.029654587545214984
200	7775	0.02951975560318891
200	12215	0.02944296470234303
304	9	0.02546291565578278
304	14	0.023834151842413165
304	22	0.025805473230387906
304	35	0.02507794021079766
304	54	0.021674173749726182
304	85	0.02035301240919523
304	133	0.0210233743903748
304	210	0.02345387058729575
304	329	0.02178069979830224
304	517	0.02221728039933904
304	813	0.02078026116767097
304	1277	0.021357618203305687
304	2005	0.021086325814656668
304	3150	0.02146207210949648
304	4949	0.021520529224933888
304	7775	0.02118013967605301
304	12215	0.02112069045915398
464	9	0.01981849836489959
464	14	0.020234049388057125
464	22	0.016511198157940887
464	35	0.017655919391482682
464	54	0.01836797113166089
464	85	0.018070778770994278
464	133	0.016052933658321323
464	210	0.016674851079864016
464	329	0.017312397471774262
464	517	0.016943045242993962
464	813	0.016618328259387517
464	1277	0.016598353659585383
464	2005	0.016475162265606927
464	3150	0.01718766802219812
464	4949	0.016716353692418997
464	7775	0.01669553622978219
464	12215	0.016835778871509537
710	9	0.015962777964457997
710	14	0.015065240208470573
710	22	0.012541843120650003
710	35	0.014241586593696322
710	54	0.013962697886298472
710	85	0.013437212735241089
710	133	0.013174239941074656
710	210	0.01366319616014209
710	329	0.01378246565321565
710	517	0.014042107190519298
710	813	0.013809178651680992
710	1277	0.013711043369515862
710	2005	0.013671558174188098
710	3150	0.013754948391499686
710	4949	0.01372119402374415
710	7775	0.013527301166447615
710	12215	0.013656208468136786
1084	9	0.014757315105138807
1084	14	0.01455333428887687
1084	22	0.013449675456012144
1084	35	0.013482182101379156
1084	54	0.014196240339923697
1084	85	0.012747234524620182
1084	133	0.012760553126551109
1084	210	0.012257551758645346
1084	329	0.012851601142787642
1084	517	0.013114466690630228
1084	813	0.012570047207380778
1084	1277	0.012772166633673681
1084	2005	0.012808585305960024
1084	3150	0.012747280798708013
1084	4949	0.012607784839947088
1084	7775	0.012578926281994132
1084	12215	0.012734143777823394
1656	9	0.00899082357749927
1656	14	0.009526160214961225
1656	22	0.009238225142612156
1656	35	0.009355339844511947
1656	54	0.009087552024262107
1656	85	0.008530423236962523
1656	133	0.007989246564022124
1656	210	0.00813070815045091
1656	329	0.008371253237219371
1656	517	0.008382847464791674
1656	813	0.008378708280461859
1656	1277	0.008147752235376175
1656	2005	0.008190187635139868
1656	3150	0.007970596888452516
1656	4949	0.008241069157569166
1656	7775	0.008160345878058738
1656	12215	0.008079575390324698
2528	9	0.009473871435949665
2528	14	0.008673068009107198
2528	22	0.007128247158040292
2528	35	0.006853250772307228
2528	54	0.006229859483245044
2528	85	0.006615637236927323
2528	133	0.007015671142854386
2528	210	0.006697235135616072
2528	329	0.0062515285622847154
2528	517	0.006586801863503924
2528	813	0.006548408199086355
2528	1277	0.006808449123534535
2528	2005	0.006655316447882342
2528	3150	0.006486502696974688
2528	4949	0.006600421811098372
2528	7775	0.006562110145069831
2528	12215	0.006620273549159172
3860	9	0.00779300395870496
3860	14	0.007784194751131568
3860	22	0.007775935178391965
3860	35	0.0075669134727272234
3860	54	0.007094265520475982
3860	85	0.006337669406116587
3860	133	0.006482557657754096
3860	210	0.00643202145238721
3860	329	0.006539216572959956
3860	517	0.00638788028983549
3860	813	0.006249186574482848
3860	1277	0.006551689887533498
3860	2005	0.006424723243940782
3860	3150	0.006423311929828099
3860	4949	0.006407153963269868
3860	7775	0.006380495916575917
3860	12215	0.006435658085196425
5894	9	0.006219655111256951
5894	14	0.005171482166428171
5894	22	0.00537525350633057
5894	35	0.005637808233590892
5894	54	0.0053605683679305675
5894	85	0.0055538859454250435
5894	133	0.005556644141832387
5894	210	0.0051196759635160445
5894	329	0.005372169370223913
5894	517	0.005356021322616741
5894	813	0.005406210898100406
5894	1277	0.005490618062837287
5894	2005	0.005403014063044937
5894	3150	0.005402147634855231
5894	4949	0.005423217051743651
5894	7775	0.0054057486244900544
5894	12215	0.005370000251297558
8996	9	0.004995079676781198
8996	14	0.004175042527203057
8996	22	0.004256887007761351
8996	35	0.004049710322918805
8996	54	0.00464599178910586
8996	85	0.00365617872531228
8996	133	0.0038015605815593704
8996	210	0.004042118416719704
8996	329	0.004046692052884951
8996	517	0.003884662495728146
8996	813	0.003932214254719003
8996	1277	0.003939623912338969
8996	2005	0.003894741052445506
8996	3150	0.003929398341517007
8996	4949	0.003939418482764822
8996	7775	0.003916386590638296
8996	12215	0.003937224297315331
13732	9	0.003395136250158943
13732	14	0.0029118207130044357
13732	22	0.003115770875960735
13732	35	0.0025846574435269046
13732	54	0.002967306153746111
13732	85	0.00286867614258834
13732	133	0.0027860857977535505
13732	210	0.0027864345612756674
13732	329	0.0028433897330430486
13732	517	0.0027532425809236477
13732	813	0.0027721566683134653
13732	1277	0.0027984506038852604
13732	2005	0.00281864672110206
13732	3150	0.002786597410010445
13732	4949	0.002791895158660349
13732	7775	0.002831807026619186
13732	12215	0.002809256554514276
20962	9	0.0027372833961658485
20962	14	0.002726871846324115
20962	22	0.0025203456264983803
20962	35	0.003097083287240243
20962	54	0.002884444881927855
20962	85	0.00262431778204217
20962	133	0.0027139040813603235
20962	210	0.0027126364870494763
20962	329	0.002782343505875079
20962	517	0.0028152688686215264
20962	813	0.0028364281277457465
20962	1277	0.002849805973488886
20962	2005	0.0027955539849042733
20962	3150	0.0027934138936922806
20962	4949	0.002840192286804823
20962	7775	0.0028544025648989577
20962	12215	0.0028134938706111234
31996	9	0.002674684225543118
31996	14	0.0020474834589016455
31996	22	0.002040647372625127
31996	35	0.002060544347844131
31996	54	0.0020491596161920436
31996	85	0.0021125832165799765
31996	133	0.0021338641547130454
31996	210	0.0019495259289482362
31996	329	0.0020370705231615278
31996	517	0.0020659762585686693
31996	813	0.0020321972436302964
31996	1277	0.002048345265425841
31996	2005	0.00205791031976631
31996	3150	0.0020563615043934515
31996	4949	0.002023385060434585
31996	7775	0.002048822964951097
31996	12215	0.0020472213912081363
48840	9	0.0019381484303262653
48840	14	0.001864803434865773
48840	22	0.0018020640667189018
48840	35	0.0018514777956945793
48840	54	0.0018110901335681735
48840	85	0.0017254101998711838
48840	133	0.00166906463077421
48840	210	0.0018018981263080273
48840	329	0.0017190094046674004
48840	517	0.001682172065968352
48840	813	0.0016995038439185334
48840	1277	0.0016800221473140713
48840	2005	0.0016736311078308465
48840	3150	0.0016840487300585599
48840	4949	0.0016843248255195013
48840	7775	0.0017001384214910353
48840	12215	0.0016987307065762063
74550	9	0.0016608669403562985
74550	14	0.0014545072789793373
74550	22	0.001427136219279447
74550	35	0.0014132837187893095
74550	54	0.0014319559646716522
74550	85	0.0013027705873168603
74550	133	0.0012581463968091055
74550	210	0.0013105183749598111
74550	329	0.0013360755167142807
74550	517	0.0012746111710332717
74550	813	0.0013054845107249389
74550	1277	0.0013396719615582778
74550	2005	0.0013034574063378757
74550	3150	0.001316790826947898
74550	4949	0.0013223115932588677
74550	7775	0.0013268343330615025
74550	12215	0.0013232516757525363
113796	9	0.001087160101857886
113796	14	0.0010904073260508602
113796	22	0.0008939243597404731
113796	35	0.000954892729533517
113796	54	0.0008491312439602264
113796	85	0.0008999015898084013
113796	133	0.0009005662396765881
113796	210	0.0008261610910222708
113796	329	0.0008317902854384684
113796	517	0.0008348023993380378
113796	813	0.0008406517046952439
113796	1277	0.0008493936208789106
113796	2005	0.000856023939572379
113796	3150	0.0008429502346747478
113796	4949	0.0008496608434504797
113796	7775	0.0008409399683844684
113796	12215	0.0008391959556724653
173702	9	0.0011909049900944535
173702	14	0.0009819212348073695
173702	22	0.0010410897586441371
173702	35	0.0010596468638398638
173702	54	0.0009860060350258847
173702	85	0.0010250861912888785
173702	133	0.0009639223115488367
173702	210	0.0008963251037956178
173702	329	0.0009327529799652073
173702	517	0.0009701168193441444
173702	813	0.0009611720055830665
173702	1277	0.0009521358855636214
173702	2005	0.0009527425744147684
173702	3150	0.0009495081855874356
173702	4949	0.0009406703223584133
173702	7775	0.000955369801402778
173702	12215	0.0009444251780348511
