shots	numstab	fidelity_error
200	9	0.04414772519081085
200	14	0.03175614546059155
200	22	0.03315174239914874
200	35	0.031150050508224687
200	54	0.02979481043766871
200	85	0.029250135885776688
200	133	0.03073945853126671
200	210	0.03170996050798745
200	329	0.0312974277807178
200	517	0.030758706422468876
200	813	0.030367162342884307
200	1277	0.030474745029358416
200	2005	0.030127600113154282
200	3150	0.03045057266413425
200	4949	0.030074940202198284
200	7775	0.030106419029960953
200	12215	0.03017924293959664
304	9	0.029849545977149044
304	14	0.024376968643046688
304	22	0.029773953604030495
304	35	0.02633000477463044
304	54	0.02518981768871807
304	85	0.02397692230918538
304	133	0.022171399380351172
304	210	0.0225318786390277
304	329	0.023123368287181395
304	517	0.023894373130133432
304	813	0.02348701647848114
304	1277	0.023315238331770627
304	2005	0.02315990376373596
304	3150	0.02334072720501083
304	4949	0.023333899351912546
304	7775	0.0232381511469002
304	12215	0.023185029878773133
464	9	0.025517148244088718
464	14	0.023487073095294325
464	22	0.019213868748660694
464	35	0.021741651228249774
464	54	0.020134987147384598
464	85	0.018872517990510825
464	133	0.01899313661609889
464	210	0.018709319570012227
464	329	0.01822855381610854
464	517	0.018125464518454173
464	813	0.018099861330076305
464	1277	0.018550471226984503
464	2005	0.018466862324623856
464	3150	0.018028529818527747
464	4949	0.017883820761261347
464	7775	0.017999776016379275
464	12215	0.017979610227866677
710	9	0.021247685721196376
710	14	0.015650954052124293
710	22	0.018653752901120865
710	35	0.01580003938030574
710	54	0.01620585413534522
710	85	0.01737999992424705
710	133	0.016771525783143473
710	210	0.01682181971582986
710	329	0.016840377045934593
710	517	0.016494600553378137
710	813	0.016613226051842657
710	1277	0.01639955000161463
710	2005	0.01667861837802264
710	3150	0.017025196051649958
710	4949	0.016785758910603413
710	7775	0.01677286953159803
710	12215	0.016796595299844938
1084	9	0.01705821841423935
1084	14	0.018467831154899333
1084	22	0.013252312533638828
1084	35	0.014436570598402265
1084	54	0.011568600497535999
1084	85	0.011674604219952686
1084	133	0.0114998591430284
1084	210	0.01226086541720468
1084	329	0.011143981093685135
1084	517	0.011959794475673425
1084	813	0.01146128087745222
1084	1277	0.010400701696371372
1084	2005	0.011410434850343274
1084	3150	0.011243738324621095
1084	4949	0.011114340746747326
1084	7775	0.011054886445554146
1084	12215	0.010984994190340667
1656	9	0.01620306557339327
1656	14	0.01515021319643983
1656	22	0.011422730537910914
1656	35	0.013290142091092342
1656	54	0.012088963240837332
1656	85	0.010569839956654198
1656	133	0.010208058602315091
1656	210	0.010586167557799725
1656	329	0.010327175188979546
1656	517	0.00942404049351255
1656	813	0.01024830648458778
1656	1277	0.009851103326414656
1656	2005	0.010035355122615993
1656	3150	0.009927649685607573
1656	4949	0.009941002328187275
1656	7775	0.009819402087771411
1656	12215	0.009902561497468078
2528	9	0.013921863418759482
2528	14	0.01215216760206137
2528	22	0.009800457886801619
2528	35	0.011994629884527994
2528	54	0.006517313841871308
2528	85	0.0072940958512485755
2528	133	0.008614569365940678
2528	210	0.008231606542427454
2528	329	0.007439294355551065
2528	517	0.006940746212267997
2528	813	0.0072409485746549405
2528	1277	0.006959851577599533
2528	2005	0.00741848361093262
2528	3150	0.007132275544775688
2528	4949	0.006895774603404184
2528	7775	0.007060993539967186
2528	12215	0.006933680480570865
3860	9	0.015418034426731276
3860	14	0.009948546323455373
3860	22	0.010437416305942894
3860	35	0.007938409393600186
3860	54	0.008263322032868215
3860	85	0.007881785000698858
3860	133	0.007635668156184701
3860	210	0.0060370198226193895
3860	329	0.006724672905050627
3860	517	0.005555136143570837
3860	813	0.005876433034397877
3860	1277	0.0055641966308359585
3860	2005	0.005695958261442076
3860	3150	0.005659898366156934
3860	4949	0.0057035103172550835
3860	7775	0.005844440992749092
3860	12215	0.005718259211293246
5894	9	0.012186068650099918
5894	14	0.011957611437588814
5894	22	0.0065247484509133955
5894	35	0.007366803313386964
5894	54	0.006639176097272966
5894	85	0.005441103671465722
5894	133	0.005991928990992774
5894	210	0.0058670108517127105
5894	329	0.005227514444729861
5894	517	0.004858233426790923
5894	813	0.005147959485271629
5894	1277	0.004763580456325121
5894	2005	0.004643345150705443
5894	3150	0.00466538923274846
5894	4949	0.004555975279330999
5894	7775	0.00456460223291368
5894	12215	0.00453500884497074
8996	9	0.011551981684718372
8996	14	0.011081894778722137
8996	22	0.00875004356579127
8996	35	0.005960425391479101
8996	54	0.006396199263058067
8996	85	0.005631465407094712
8996	133	0.004941665814344493
8996	210	0.00498077348582073
8996	329	0.004797589262633327
8996	517	0.004190671323225638
8996	813	0.004511192981862399
8996	1277	0.00419879935224883
8996	2005	0.00394002061584933
8996	3150	0.004051139502396338
8996	4949	0.004042493714976994
8996	7775	0.004103314576970726
8996	12215	0.004145666272470453
13732	9	0.009338154312698629
13732	14	0.009315670594169346
13732	22	0.007541353653300698
13732	35	0.005512230962350131
13732	54	0.005287268845542045
13732	85	0.004802267870715502
13732	133	0.00471819475526277
13732	210	0.004355797677937084
13732	329	0.0033804260547333495
13732	517	0.0030300186535292912
13732	813	0.0036577411116637385
13732	1277	0.003331248229215574
13732	2005	0.003022781912564265
13732	3150	0.003121545590436841
13732	4949	0.0032064725249655755
13732	7775	0.0032333819179802452
13732	12215	0.003079650559107758
20962	9	0.009214253923968492
20962	14	0.01002334152488242
20962	22	0.005987080375765022
20962	35	0.005893659351592456
20962	54	0.0059502294207535895
20962	85	0.004589827850181314
20962	133	0.004054526563181193
20962	210	0.0034403971121292876
20962	329	0.0034892742159662988
20962	517	0.002827835147977838
20962	813	0.002933925820217548
20962	1277	0.0029276308084785992
20962	2005	0.0029014877615237042
20962	3150	0.002545344083414802
20962	4949	0.0028089244582515023
20962	7775	0.002694627554061425
20962	12215	0.0025727445072486637
31996	9	0.009895010399921163
31996	14	0.010517983127414088
31996	22	0.00649848692929321
31996	35	0.006363584971262924
31996	54	0.0051872064478863805
31996	85	0.0033515554493751317
31996	133	0.002456214018219081
31996	210	0.002909158368917824
31996	329	0.002394415714272465
31996	517	0.002102957939953782
31996	813	0.0021596333282284264
31996	1277	0.0019300538616582607
31996	2005	0.001759993946696989
31996	3150	0.0017132726779279233
31996	4949	0.0018761172901030645
31996	7775	0.0017806362914869456
31996	12215	0.0018344230821523348
48840	9	0.011738430134068572
48840	14	0.008816132023413406
48840	22	0.006616088157058584
48840	35	0.005279288572327146
48840	54	0.004878858336954419
48840	85	0.0034353615996003876
48840	133	0.0033511058068709247
48840	210	0.002481876678229749
48840	329	0.002167616125736153
48840	517	0.0022728924695920045
48840	813	0.0017795088677863
48840	1277	0.0017626172941748038
48840	2005	0.001777735463907221
